State,years,short
Andhra Pradesh,7,AP
Assam,9,AS
Bihar,1,BH
Chattisgarh,12,CH
Delhi,6,DL
Gujarat,8,GJ
Haryana,9,HR
Himachal Pradesh,10,HP
Jammu & Kashmir,5,JK
Jharkhand,1,JH
Karnataka,14,KR
Kerala,7,KL
Madhya Pradesh,8,MP
Maharashtra,7,MH
Orissa,8,OR
Punjab,6,PB
Rajasthan,6,RJ
Tamil Nadu,10,TN
Uttar Pradesh,5,UP
West Bengal,9,WB
All India,7,AI
